股票代码	股票名称	研报标题	评级	机构	18年预测收益	19年预测收益	研报时间
300470	日机密封	天然气管道运输有望成为新增长点	买入	华泰证券	1.81	2.54	5月31日
300365	恒华科技	电力信息化龙头受益配售电改革	买入	国信证券	0.63	0.87	6月6日
300687	赛意信息	重启股权激励计划，坚定看好公司未来发展潜力	增持	方正证券	0.97	1.25	6月6日
002371	北方华创	深度报告：北方华创半导体设备龙头，国产化替代先锋	增持	浙商证券	0.48	0.91	6月6日
002717	岭南股份	“园林+”大PPP模式快速推进，追赶战略提升估值空间	买入	安信证券	-	-	6月6日
300662	科锐国际	行业空间广阔，人力资源服务领先企业前景可期	增持	新时代	0.53	0.68	6月7日
000338	潍柴动力	【方正汽车】跟踪系列十五：重卡销量创新高，潍柴充分受益	增持	方正证券	0.93	1.01	6月7日
002821	凯莱英	战略合作CRO，持续强化新药研发生产一站式服务	买入	平安证券	1.99	2.69	6月7日
002050	三花智控	专注引领不止，明日三花更烂漫	买入	长江证券	0.7	0.86	6月8日
603686	龙马环卫	高速增长、现金充裕的环卫龙头	买入	国信证券	1.11	1.44	6月8日
600011	华能国际	深度报告：发电量增长盈利持续可期，火电龙头投资价值显现	增持	信达证券	0.31	0.41	6月8日
300467	迅游科技	爆款接力，加速需求提升	买入	西南证券	1.66	2.15	6月5日
300596	利安隆	事件点评：员工持股计划完成股权受让，高分子抗老化助剂龙头前景可期	买入	国海证券	0.95	1.2	6月4日
600754	锦江股份	再读龙头系列之锦江股份：锦绣山河在，江海瑞气生	买入	长江证券	1.22	1.56	5月30日
600320	振华重工	中国制造业核心资产之（一）：港机业务拐点初现，未来港口智能化前景广阔	增持	川财证券	0.1	0.12	5月31日
002180	纳思达	Lexmark整合顺利，打印独角兽业务全面开花	买入	财通证券	0.94	1.34	5月31日
601888	中国国旅	签约澳门机场，国际化布局加速	买入	华泰证券	1.86	2.3	5月31日
600845	宝信软件	调研纪要：工业互联网引领制造业革命	-	莫尼塔投资	-	-	6月6日
002020	京新药业	公告点评：卡巴拉汀首仿获批，中枢神经线布局迎来收获期	买入	光大证券	0.45	0.56	6月6日
601009	南京银行	首次覆盖报告：控速度调结构，基本面拐点向上，性价比高	增持	西部证券	1.12	1.32	6月6日
603308	应流股份	动态研究：叶片+核电业务蓄势待发，蜗轴发动机布局顺利	增持	国海证券	0.26	0.41	6月6日
300192	科斯伍德	一跃龙门，破局锐变	增持	国盛证券	0.29	0.39	6月7日
600233	圆通速递	中标香港机场，圆通助菜鸟起航	增持	华泰证券	0.62	0.66	6月7日
603520	司太立	造影剂龙头整合提速，产业链延伸布局未来	增持	平安证券	0.95	1.5	6月7日
600309	万华化学	万华化学系列报告之总概篇：“中国万华”，“世界万华”！	买入	财通证券	4.5	6.02	6月7日
600233	圆通速递	圆通速递国际化布局再下一城	买入	申万宏源	0.7	0.93	6月8日
601117	中国化学	轻装上阵，扬帆起航	买入	长江证券	0.55	0.67	6月8日
000703	恒逸石化	龙头的崛起：炼化-化纤一体化航母加速前行	买入	国盛证券	1.44	2.13	6月8日
300747	锐科激光	新股分析：国内光纤激光器龙头，受益高功率进口替代加速	-	招商证券	3.38	4.76	6月8日
603283	赛腾股份	深耕苹果产业链，切入半导体封测自动化设备领域	买入	天风证券	1.06	1.15	6月4日
002664	长鹰信质	菜鸟、北航、长鹰信质三方联袂打造物流无人机，公司平台战略新增又一基石	增持	方正证券	0.77	0.95	6月4日
002621	三垒股份	首次覆盖报告：战略转型布局教育产业，拟收购美吉姆开启早教业务	增持	新时代	0.12	0.14	6月4日
601139	深圳燃气	调研简报：A股燃气白马，需求增长前景良好	买入	国海证券	0.51	0.62	5月30日
603661	恒林股份	内外需求利好，办公椅行业巨擘蓄势待发	增持	中泰证券	1.86	2.35	5月30日
300009	安科生物	布局溶瘤病毒，肿瘤治疗平台又一拼图	买入	平安证券	0.38	0.52	5月31日
600754	锦江股份	整体RevPAR延续增势，中档酒店加速扩张	买入	招商证券	1.15	1.48	5月31日
300750	宁德时代	预计上市初期压力位70元-80元	-	恒泰证券	-	-	5月31日
601607	上海医药	国际化与创新驱动，老国企焕发新生机	买入	中信建投	1.42	1.64	5月29日
600588	用友网络	用友云2017年中国SaaS市占率第一，积极推动企业数字化转型	增持	新时代	0.44	0.57	6月6日
600066	宇通客车	5月销量点评：5月新能源客车放量，过渡期后龙头竞争优势有望进一步凸显	买入	华创证券	1.76	1.89	6月6日
600146	商赢环球	海内外市场双管齐下，全球服装新零售战略逐步成型	增持	申万宏源	0.85	1.1	6月6日
000581	威孚高科	【方正汽车】跟踪系列十四：重卡持续高景气，威孚高科上半年增长无忧	增持	方正证券	2.77	2.88	6月7日
601857	中国石油	投资价值分析报告：王者归来	买入	光大证券	6.82	7.2	6月7日
300503	昊志机电	动态研究：产品序列不断完善，减速器业务值得期待	增持	国海证券	0.36	0.49	6月7日
601238	广汽集团	5月销量同比持平，看好下半年新产能+新车型释放	买入	招商证券	1.86	2.19	6月8日
300363	博腾股份	调整经营战略，发展迎来新起点	增持	招商证券	0.27	0.48	6月8日
600104	上汽集团	上汽集团5月销量点评：一骑绝尘	买入	国泰君安	3.33	3.73	6月8日
600276	恒瑞医药	长效粒细胞刺激因子获批上市，重磅品种不断兑现	买入	中泰证券	1.08	1.43	6月4日
002624	完美世界	新游戏表现超预期，年轻化战略持续推进	买入	中泰证券	1.45	1.83	6月4日
600056	中国医药	实现优质资产控股，业绩增速有望持续回升	买入	中泰证券	1.5	1.87	5月30日
601799	星宇股份	产品客户双飞跃，铸造车灯新“一极”	买入	长江证券	2.27	2.94	5月29日
600297	广汇汽车	深度研究：扩张模式可持续，利润结构持续优化的经销商龙头	买入	东方财富证券	0.62	0.73	5月29日
300510	金冠电气	高功率桩+新涂覆膜，打造增长新动力	增持	平安证券	1.25	1.61	5月31日
000425	徐工机械	工程机械行业景气度不减，行业龙头利润弹性足	增持	上海证券	0.25	0.29	5月31日
603099	长白山	资源得天独厚，形势内外向好	买入	中信建投	0.3	0.4	5月29日
600338	西藏珠峰	向2万吨LCE迈进	买入	天风证券	2.4	3	5月29日
002878	元隆雅图	促销品行业翘楚，未来持续高速增长可期：坐拥大客户资源优势，二十载深耕促销品行业筑造护城河	增持	新时代	1.22	1.5	5月29日
000681	视觉中国	公司首次覆盖报告：平台优势显著，打造全数字视觉娱乐集团	买入	国泰君安	0.56	0.73	5月27日
000661	长春高新	详细解读长春高新鼻喷冻干流感减毒活疫苗	买入	招商证券	-	-	6月6日
000818	航锦科技	精细化管理提升化工业绩，订单释放军工电子持续获益	买入	中信建投	0.74	0.84	6月6日
603396	金辰股份	光伏新政加速平价上网，多方优势助组件设备龙头抵御风险	买入	东方证券	1.38	1.81	6月6日
600309	万华化学	吸收合并锦上添花，中国化工巨头冉冉升起	买入	太平洋	5.34	5.94	6月5日
002065	东华软件	腾讯合作升级商业模式，B端互联网龙头扬帆起航	增持	天风证券	0.3	0.38	6月7日
000661	长春高新	事件点评：鼻喷流感疫苗纳入优先审评，上市进度有望超预期	买入	光大证券	5.16	6.76	6月7日
002399	海普瑞	公司动态点评：聚焦依诺肝素制剂，激励加快推进创新	买入	长城证券	0.48	0.62	6月7日
600062	华润双鹤	收购湘中制药 形成精神类药品业务协同	增持	招商证券	1.18	1.36	6月8日
600104	上汽集团	市占率加速提升是本轮整车投资主线	买入	招商证券	3.17	3.49	6月8日
002137	麦达数字	智能硬件+智慧营销双轮驱动成长	买入	东北证券	0.24	0.38	6月8日
600309	万华化学	公司复牌点评：公司整体上市方案落地，打造国际一流化工企业	买入	新时代	4.64	5.06	6月4日
600521	华海药业	缬沙坦片获批，口服制剂出口转报路径打通	买入	中泰证券	0.64	0.84	6月4日
600161	天坛生物	整合落地，血制品航母扬帆起航	增持	中泰证券	0.76	0.98	6月4日
600438	通威股份	与中环签订购销合同，硅料获单晶龙头认可	买入	招商证券	0.69	1.04	5月29日
600258	首旅酒店	公司拟出售燕京饭店股权点评：拟出售燕京饭店20%股权，惰性资产变现增厚业绩	买入	国泰君安	0.98	1.16	5月29日
002707	众信旅游	拟收购竹园30%股权，将显著增厚业绩	买入	国泰君安	0.38	0.53	5月29日
002126	银轮股份	客户拓展再突破，乘用车业务前景广阔	买入	华泰证券	0.5	0.64	5月31日
300423	鲁亿通	“亿”熠“昇辉”：通往智慧社区龙头之路	买入	东北证券	1.35	1.97	5月30日
300465	高伟达	金融信息化龙头全面发力金融科技	买入	方正证券	0.38	0.47	5月30日
300133	华策影视	经营性现金流大幅转正，全网剧龙头傲视群雄	买入	国金证券	0.443	0.568	5月24日
600436	片仔癀	体验馆对片仔癀有何意义？	增持	天风证券	1.9	2.55	5月29日
603305	旭升股份	特斯拉核心供应商	增持	方正证券	0.85	1.19	5月28日
600330	天通股份	材料和装备比肩齐飞，多项业务卡位行业风口	买入	东吴证券	0.37	0.55	5月25日
600682	南京新百	重组收购FDA核准的首个细胞免疫疗法获有条件过会，打造生物医疗健康龙头	增持	申万宏源	1.06	1.53	5月25日
002624	完美世界	上调中报至7.2-8.3亿元，产品表现体现业务优质性	买入	天风证券	1.37	1.71	6月5日
300177	中海达	卓越推：中海达	增持	信达证券	0.19	0.25	6月5日
600276	恒瑞医药	长效rhG-CSF空间推算演绎，19K销售望达10亿	买入	天风证券	1.07	1.33	6月5日
002153	石基信息	与Oracle续签重大合同，云转型稳步推进	买入	新时代	0.46	0.55	6月5日
600880	博瑞传播	改革初见成效，总体形势向好	-	西南证券	0.04	0.03	6月7日
600887	伊利股份	公司深度报告：乳品欣欣向荣，伊利优势尽显	买入	长城证券	1.19	1.43	6月7日
000333	美的集团	Riding consumption upgrade	买入	中国银河国际证券	3.29	4.17	6月7日
600760	中航沈飞	深度报告：扶摇直上九万里，鹰击长空正有时	买入	长江证券	0.61	0.78	6月8日
002643	万润股份	横跨显示+环保+大健康三大领域，优质客户体系助力公司发展	买入	太平洋	0.48	0.63	6月8日
600104	上汽集团	5月销量增长近15%，行业整合宜坚守龙头	买入	中银国际	3.23	3.53	6月8日
600718	东软集团	汽车电子新产品获国际标准测试	买入	中泰证券	0.42	0.52	6月4日
002491	通鼎互联	卓越网络可视化专家，享百亿市场空间	买入	天风证券	0.79	1.1	6月4日
600309	万华化学	MDI高景气，全球综合化工巨头加速起航	买入	天风证券	4.38	4.97	6月4日
300041	回天新材	深度研究报告：从产品和应用维度看回天：原材料大幅涨价业绩逆势增长，多元布局致力长期发展	增持	华创证券	0.4	0.53	5月29日
002472	双环传动	自动变速箱系列报告二：双环传动：专业齿轮供应商 乘自动变/RV减速器国产化东风	买入	方正证券	0.44	0.57	5月30日
300073	当升科技	签订合作协议打开产能瓶颈，卡位高镍三元享受技术红利	买入	申万宏源	0.7	0.93	5月30日
300124	汇川技术	工控龙头多点开花，稳健增长穿越周期	增持	申万宏源	0.74	0.84	5月30日
300218	安利股份	龙头地位稳固，经营趋好	增持	国元证券	0.15	0.36	5月24日
300595	欧普康视	小产品大行业、唯一稀缺标的	买入	国元证券	1.61	2.15	5月24日
002223	鱼跃医疗	品牌消费系列之一：品牌渠道价值，再次鱼跃龙门	买入	太平洋	0.72	0.87	5月24日
300271	华宇软件	定增募资加码三大主业，进一步强化核心竞争力	买入	安信证券	0.66	0.86	5月28日
600330	天通股份	泛半导体设备材料共振，产业聚焦合力启航	买入	安信证券	0.41	0.65	5月28日
603818	曲美家居	收购挪威软体龙头Ekornes，产品品牌渠道协同，开启新成长	买入	中信建投	-	-	5月28日
600498	烽火通信	股权激励落地，新产品成长叠加数据流流量爆发驱动业绩提升	买入	申万宏源	0.82	0.96	5月23日
600661	新南洋	大股东可交债换股，股权结构进一步优化	买入	中泰证券	0.56	0.71	5月25日
600196	复星医药	利妥昔单抗顺利完成三期临床试验，公司单抗平台首个品种交出完美成绩单	买入	中泰证券	1.53	1.81	5月25日
002563	森马服饰	童装领衔，休闲复苏，公司开启新增长周期	买入	国泰君安	0.6	0.73	6月5日
002444	巨星科技	拟收购Lista，海外布局再进一步	买入	方正证券	0.63	0.75	6月5日
600066	宇通客车	宇通客车5月销量点评：补贴缓冲末期，迎来小批量抢装	买入	国泰君安	1.72	1.99	6月5日
600521	华海药业	缬沙坦获批，制剂出口转报加速	买入	国金证券	0.749	0.947	6月7日
600309	万华化学	深度报告：整体上市成就聚氨酯国际巨头，全球布局三大产业再出发	买入	申万宏源	4.77	6.37	6月7日
300630	普利制药	更昔洛韦钠获批，注射剂一致性评价优势明显	买入	国金证券	1.219	2.386	6月7日
600104	上汽集团	或因库存周期波动、销量略超预期	买入	平安证券	3.28	3.53	6月8日
601238	广汽集团	公司动态点评：5月自主销量依然低迷，6月新车型值得期待	买入	长城证券	1.96	2.25	6月8日
600521	华海药业	海外转报进入收获期，制剂出口不断深化	买入	中信建投	0.64	0.77	6月8日
002384	东山精密	员工持股凸显信心，两大支点谋发展	买入	安信证券	1.18	1.7	6月4日
603589	口子窖	兼香品味口子窖，产品精准布局分享消费升级红利	买入	东北证券	2.48	3.06	6月4日
300098	高新兴	卓越推：高新兴	增持	信达证券	0.34	0.45	5月29日
600900	长江电力	卓越推：长江电力	买入	信达证券	0.97	0.95	5月29日
000650	仁和药业	经营面改善明显，OTC龙头再起航	买入	招商证券	0.4	0.53	5月30日
600056	中国医药	兑现重组承诺，收购新兴医药和长城制药部分股权	增持	平安证券	1.54	1.93	5月30日
300601	康泰生物	四联苗快速放量，重磅疫苗陆续上市	买入	东北证券	1.19	2.21	5月30日
300129	泰胜风能	推动军工转型，发力海上风电	买入	中信建投	0.27	0.35	5月23日
603345	安井食品	安井食品：深耕餐饮行业，力做食品龙头	买入	太平洋	1.21	1.55	5月24日
300750	宁德时代	新股网下申购询价建议报告（宁德时代）	-	东莞证券	-	-	5月24日
002396	星网锐捷	云业务生态圈协同，护航业绩成长	买入	华泰证券	1.05	1.34	5月24日
600682	南京新百	定增获证监会审核通过，公司将成为国内细胞免疫治疗领域龙头企业	增持	安信证券	0.88	1.15	5月28日
603926	铁流股份	收购Geiger公司，未来双主业驱动	增持	东北证券	1.05	1.29	5月28日
002928	华夏航空	支线战略坚定，为了民航大众化奋斗	买入	国金证券	1.09	1.52	5月28日
600521	华海药业	拟定增布局生物药，制剂出口转报有望取得突破	买入	中泰证券	0.64	0.84	5月28日
002202	金风科技	从技术进步看公司“两海”战略发展	买入	申万宏源	1.13	1.4	5月23日
600233	圆通速递	海陆空齐头并进追赶“失去的一年”	买入	申万宏源	0.7	0.93	5月23日
600967	内蒙一机	首次覆盖报告：装甲龙头，混改先锋	买入	国泰君安	0.39	0.46	5月25日
600885	宏发股份	当前时点如何看宏发：陪伴优质企业转型，见证二次成长	买入	长江证券	1.51	1.9	5月25日
002304	洋河股份	梦之蓝助力增长提速，全国化打开增量空间	买入	招商证券	5.55	6.93	5月25日
002624	完美世界	重大事项点评：H1新游表现超预期，助力业绩稳固发展	增持	华创证券	1.44	1.82	6月5日
300230	永利股份	业绩拐点向上，三驾马车助力公司业绩快速增长	买入	太平洋	0.88	0.97	6月5日
600050	中国联通	重大事件快评：详拆联通ROE，未来或有较大改善空间	买入	国信证券	0.13	0.18	6月5日
600066	宇通客车	重大事件快评：5月抢装行情，新能源销量超预期	买入	国信证券	1.63	1.84	6月5日
300750	宁德时代	CATL上市，引领动力电池行业的时代变革	买入	华创证券	1.41	1.88	6月7日
300142	沃森生物	疫苗单抗齐头并进，业绩拐点可期	增持	国元证券	0.09	0.22	6月7日
002833	弘亚数控	国产化浪潮已至，龙头扬帆起航	买入	国信证券	2.51	3.11	6月8日
300284	苏交科	事业伙伴计划落地，环境监测业务值得期待	买入	长江证券	0.73	0.92	6月8日
600562	国睿科技	雷达轨交与微波器件较快增长，中电十四所资产注入高度可期	买入	中信建投	0.49	0.72	6月8日
600518	康美药业	饮片受益于全管道优势，大健康产业链前景良好	增持	辉立证券	0.98	1.21	6月4日
300729	乐歌股份	乐歌股份公司首次覆盖报告：人体工学龙头开启自主品牌之路	买入	国泰君安	1.03	1.36	6月4日
600309	万华化学	动态点评：资产重组持续推进，多元化和精细化产品路线弱化周期，业绩将稳定增长	买入	国海证券	4.42	5.16	6月4日
002308	威创股份	动态研究：投资芝麻街英语，持续完善幼教产业链	买入	国海证券	0.28	0.33	5月29日
300408	三环集团	以材料能力为核心扩张品类，各业务全面向好	买入	国泰君安	0.87	1.11	5月29日
300470	日机密封	深度研究报告：大炼化、煤化工投资潮带动密封需求，行业龙头扩产释放业绩弹性	增持	华创证券	1.6	2.53	5月29日
600742	一汽富维	大众进入新周期，公司布局正当时	买入	招商证券	1.28	1.79	5月30日
002590	万安科技	【方正汽车】跟踪系列：万安科技新产品应用和汽车电子维持公司增长	增持	方正证券	0.33	0.42	5月30日
600452	涪陵电力	“发展新区”保发展，节能业务促增长	买入	中信建投	1.91	2.4	5月23日
002402	和而泰	智能控制器龙头，布局物联网业务	增持	华泰证券	0.31	0.46	5月23日
603848	好太太	好太太公司首次覆盖报告：晾衣架领军龙头，布局智能家居新蓝海	买入	国泰君安	0.69	0.94	5月24日
002262	恩华药业	股票激励方案落地，新一轮较快增长起航	买入	国泰君安	0.5	0.61	5月24日
603338	浙江鼎力	蓝海举鼎，内外并驱高增长	增持	国盛证券	1.53	2.13	5月24日
601229	上海银行	上海银行首次覆盖报告：最具市场区位优势的城商行	买入	国泰君安	2.16	2.42	5月22日
002035	华帝股份	再读龙头系列之华帝股份：华彩已重绽，扬帆正启航	买入	长江证券	1.29	1.77	5月28日
600438	通威股份	连获单晶龙头长单，硅料业务进入收获期	买入	中泰证券	0.67	1.1	5月28日
002773	康弘药业	深度开发康柏西普，加速抗肿瘤适应症临床研究	增持	中泰证券	1.25	1.62	5月28日
600588	用友网络	用友精智荣获2018年中国工业云平台十强，加快推动制造业转型升级	增持	新时代	0.44	0.57	5月23日
002389	南洋科技	南洋科技首次覆盖报告：双主业发展格局成形，无人机业务有望超预期	增持	新时代	0.43	0.54	5月23日
002773	康弘药业	出海启临床，相期邈云汉	增持	国信证券	1.24	1.59	5月25日
002768	国恩股份	国际足联认证年内有望通过，草坪业务放量将加速	买入	安信证券	1.22	1.67	5月25日
002382	蓝帆医疗	双帆扬起，静水流深	增持	国信证券	0.45	0.77	5月25日
002153	石基信息	重大事项点评：与ORACLE公司续签，助力战略转型平稳进行	增持	华创证券	0.44	0.53	6月5日
300178	腾邦国际	收购喜游并表加码出境游布局，股价调整迎来布局良机	买入	国信证券	0.62	0.85	6月5日
300015	爱尔眼科	「医疗服务连锁必读」标准化建设奠定爱尔眼科王国基石	-	广证恒生	-	-	6月5日
603686	龙马环卫	再次站在腾飞起点	买入	华创证券	1.14	1.51	6月7日
601360	三六零	公司点评报告：百亿定增助力宏伟蓝图	增持	中原证券	0.56	0.68	6月7日
600329	中新药业	资源型老字号企业，业绩和管理拐点明确	增持	国开证券	0.81	0.95	6月7日
002821	凯莱英	与CRO龙头展开合作，打造一站式外包服务	买入	中信建投	1.97	2.64	6月8日
600104	上汽集团	销量高增速符合预期，强产品周期有望延续	买入	财通证券	3.21	3.49	6月8日
603486	科沃斯	渗透率和行业空间提升双加持，服务机器人龙头率先受益	增持	东北证券	1.24	1.7	6月8日
603486	科沃斯	事件点评：服务机器人第一股上市，密切关注市场份额变化	增持	国海证券	1.31	1.77	6月4日
603808	歌力思	卓越推：歌力思	增持	信达证券	1.13	1.34	6月4日
300470	日机密封	大炼化、煤化工投资潮带动密封需求，行业龙头扩产释放业绩弹性	增持	华创证券	1.6	2.53	5月29日
300296	利亚德	四大业务板块协同增长，小间距、文旅和VR构建盈利新思路（LED深度报告之四）	买入	申万宏源	0.7	0.9	5月29日
601128	常熟银行	卓越推：常熟银行	买入	信达证券	0.66	0.75	5月29日
002594	比亚迪	打造高端品牌，战略再投资	买入	太平洋	1.8	2.15	5月30日
600063	皖维高新	公司动态点评：成本推动，PVA价格有望上涨	买入	长城证券	0.13	0.19	5月30日
600797	浙大网新	调研简报：董监事会换届获全票通过，成都项目能源优势明显	买入	中原证券	0.39	0.52	5月30日
002773	康弘药业	点评报告：III期临床试验启动，进军海外市场	增持	万联证券	1.31	1.7	5月23日
300016	北陆药业	追踪报告：对比剂小龙头+精准医疗领跑者，个性化用药时代的到来将为公司打开巨大空间	买入	东兴证券	0.44	0.55	5月23日
603018	中设集团	在手订单充裕，业绩有望稳定增长	买入	财富证券	1.19	1.45	5月23日
300098	高新兴	利润分配方案落地，天通一号商业运营利好卫星通信业务	增持	信达证券	0.34	0.45	5月22日
300212	易华录	重大事件快评：电子车牌首单落地，主业升级价值提升	买入	国信证券	1.01	1.56	5月24日
300122	智飞生物	九价HPV成功批签发，上市进程再超预期	买入	东北证券	0.94	1.93	5月24日
300178	腾邦国际	柳暗花明再迎成长，抓住“机”遇扬帆起航	买入	东北证券	0.56	0.72	5月24日
002507	涪陵榨菜	涪陵榨菜首次覆盖报告：产品变革正当时，呼之欲出大乌江	买入	国泰君安	0.74	0.97	5月22日
300324	旋极信息	先拆分再整合，税控业务开始新征程	买入	国金证券	0.651	0.829	5月22日
000034	神州数码	积极转型云计算，收购启行教育显著增厚业绩	买入	国泰君安	1.34	1.69	5月22日
600352	浙江龙盛	中间体、染料价格上涨，环保趋严持续优化行业	增持	上海证券	1.02	1.21	5月28日
600188	兖州煤业	国内调控风声四起，澳洲基地坐享行业上行红利	买入	信达证券	1.91	2.26	5月28日
002624	完美世界	积水成渊生潜龙 宝剑磨砺铸完美	买入	华金证券	1.4	1.74	5月28日
002294	信立泰	引入雷帕霉素药物洗脱球囊，扩充心脑血管器械版图	买入	光大证券	1.61	1.93	5月23日
002773	康弘药业	公告点评：全球多中心试验如期开展，与阿柏西普头对头彰显信心	增持	光大证券	1.23	1.59	5月23日
603818	曲美家居	定增收购挪威家居公司，助力品牌、全球化布局	买入	招商证券	0.67	0.85	5月25日
300244	迪安诊断	乘长风破万里浪	买入	国信证券	0.8	1.06	5月25日
002126	银轮股份	不惧美国加税扰动，珍惜买入银轮股份	买入	东北证券	0.51	0.67	5月25日
300145	中金环境	调研简报：制造+咨询快速发展，布局高毛利危废处置	-	国开证券	0.67	0.86	6月5日
300454	深信服	与巨头并肩驰骋，云计算再造一个“深信服”	增持	天风证券	1.86	2.39	6月5日
600066	宇通客车	5月销量大幅超预期，头部企业竞争力愈加凸显	买入	平安证券	1.83	2.02	6月5日
002422	科伦药业	事件点评：右美托咪定、唑来膦酸接连获批，科伦迎来仿制药集中收获期	买入	东兴证券	0.86	1.12	6月5日
600486	扬农化工	中化增资收购扬农集团，看好扬农化工远期发展	买入	天风证券	3.34	3.93	6月7日
002480	新筑股份	川发展背书助力轨交业务腾飞，中低速磁浮核心技术国内首屈一指！	买入	天风证券	0.16	0.31	6月7日
000040	东旭蓝天	2018年限制性股票激励计划（草案）点评：限制性股票激励助力公司发展	买入	光大证券	0.74	1.52	6月7日
002236	大华股份	自研AI芯片助推经济型人脸摄像机，抢占安防智能化先机	买入	招商证券	1.07	1.42	6月8日
300159	新研股份	定增15亿元加码航空航天制造，切实提高投资者回报	买入	东北证券	0.43	0.59	6月8日
000725	京东方A	电子行业卓越推	增持	信达证券	0.3	0.4	6月4日
600309	万华化学	重大资产重组复牌，砥砺四十载，今朝再起航	买入	中信建投	5.95	7.12	6月4日
600711	盛屯矿业	卓越推：盛屯矿业	买入	信达证券	0.5	0.64	5月29日
002912	中新赛克	虚拟世界“安防”的弄潮儿	买入	招商证券	1.74	2.85	5月29日
002501	利源精制	整车试制进度有延迟，深加工材逐步放量	买入	财富证券	0.51	0.65	5月30日
600056	中国医药	承诺兑现，资产注入即将落地	买入	华泰证券	1.56	1.94	5月30日
300750	宁德时代	动力电池独角兽，引领中国“芯”时代	-	财通证券	2.06	2.2	5月30日
600195	中牧股份	口蹄疫市场苗放量，其他业务稳健发展	买入	财富证券	1.07	1.25	5月23日
002751	易尚展示	事件点评：参与京东天工计划3.0，AR&3D电商业务静待爆发	买入	东兴证券	1.22	1.44	5月23日
002020	京新药业	公司动态点评：一致性评价再下一城，加码进口替代	买入	长城证券	0.47	0.58	5月23日
